iter	Passed	Remaining
0	321	128288
1	357	71091
2	411	54435
3	428	42400
4	478	37804
5	523	34392
6	588	33013
7	631	30944
8	698	30360
9	745	29059
10	830	29354
11	872	28213
12	916	27298
13	959	26460
14	999	25653
15	1057	25376
16	1093	24638
17	1141	24233
18	1262	25307
19	1340	25476
20	1367	24682
21	1407	24179
22	1491	24448
23	1558	24412
24	1594	23914
25	1636	23542
26	1684	23264
27	1719	22846
28	1755	22460
29	1801	22213
30	1854	22076
31	1908	21949
32	1977	21986
33	2022	21771
34	2059	21481
35	2128	21519
36	2172	21314
37	2248	21416
38	2300	21297
39	2348	21133
40	2403	21044
41	2448	20866
42	2490	20680
43	2534	20504
44	2598	20497
45	2645	20359
46	2709	20351
47	2748	20155
48	2782	19929
49	2828	19801
50	2839	19428
51	2867	19191
52	2874	18820
53	2881	18460
54	2890	18130
55	2900	17814
56	2908	17501
57	2915	17191
58	2933	16957
59	2943	16678
60	2953	16414
61	2960	16139
62	2966	15867
63	2972	15604
64	2981	15366
65	2990	15131
66	2999	14909
67	3006	14681
68	3028	14530
69	3034	14307
70	3041	14091
71	3046	13878
72	3054	13682
73	3062	13491
74	3097	13421
75	3141	13390
76	3148	13207
77	3156	13030
78	3165	12862
79	3170	12682
80	3177	12514
81	3185	12353
82	3195	12206
83	3204	12054
84	3213	11907
85	3220	11759
86	3240	11657
87	3262	11565
88	3270	11426
89	3277	11290
90	3285	11157
91	3298	11042
92	3317	10952
93	3345	10890
94	3353	10765
95	3359	10637
96	3368	10520
97	3375	10403
98	3382	10283
99	3388	10166
100	3393	10045
101	3401	9937
102	3411	9835
103	3417	9727
104	3426	9625
105	3447	9561
106	3453	9458
107	3462	9360
108	3470	9264
109	3476	9165
110	3486	9076
111	3493	8982
112	3504	8899
113	3510	8806
114	3518	8720
115	3525	8632
116	3546	8577
117	3554	8494
118	3562	8411
119	3566	8322
120	3571	8235
121	3579	8157
122	3585	8074
123	3590	7992
124	3597	7914
125	3604	7839
126	3609	7760
127	3615	7681
128	3628	7621
129	3646	7573
130	3654	7504
131	3660	7431
132	3668	7365
133	3677	7299
134	3682	7228
135	3688	7159
136	3695	7095
137	3701	7027
138	3710	6966
139	3716	6902
140	3724	6842
141	3731	6780
142	3755	6748
143	3774	6709
144	3781	6650
145	3788	6591
146	3794	6530
147	3800	6470
148	3807	6414
149	3815	6358
150	3820	6299
151	3827	6245
152	3833	6188
153	3841	6136
154	3858	6098
155	3866	6047
156	3872	5993
157	3881	5944
158	3887	5891
159	3893	5840
160	3902	5793
161	3914	5751
162	3921	5701
163	3927	5651
164	3936	5606
165	3939	5552
166	3954	5517
167	3964	5474
168	3970	5427
169	3978	5382
170	3984	5336
171	3992	5292
172	4000	5248
173	4009	5207
174	4015	5162
175	4031	5130
176	4084	5146
177	4105	5120
178	4112	5077
179	4118	5033
180	4123	4989
181	4130	4947
182	4140	4909
183	4169	4894
184	4182	4860
185	4192	4823
186	4198	4782
187	4206	4743
